date,call_sign_tx,txlat,txlon,call_sign_rx,rxlat,rxlon,tfreq,sn,smode,ssrc,pthlen,latcen,loncen
2018-12-15 14:10:00,WB5BHS,35.3188,-93.0792,KB2SYD,41.5,-75.0,14.0,,Raytrace,iri2016,1714,38.75784226568138,-84.42981481558252
2018-12-15 14:20:00,WB5BHS,35.3188,-93.0792,KB2SYD,41.5,-75.0,14.0,,Raytrace,iri2016,1714,38.75784226568138,-84.42981481558252
2018-12-15 14:30:00,WB5BHS,35.3188,-93.0792,KB2SYD,41.5,-75.0,14.0,,Raytrace,iri2016,1714,38.75784226568138,-84.42981481558252
2018-12-15 14:40:00,WB5BHS,35.3188,-93.0792,KB2SYD,41.5,-75.0,14.0,,Raytrace,iri2016,1714,38.75784226568138,-84.42981481558252
2018-12-15 14:50:00,WB5BHS,35.3188,-93.0792,KB2SYD,41.5,-75.0,14.0,,Raytrace,iri2016,1714,38.75784226568138,-84.42981481558252
2018-12-15 15:00:00,WB5BHS,35.3188,-93.0792,KB2SYD,41.5,-75.0,14.0,,Raytrace,iri2016,1714,38.75784226568138,-84.42981481558252
2018-12-15 15:50:00,WB5BHS,35.3188,-93.0792,KB2SYD,41.5,-75.0,14.0,,Raytrace,iri2016,1714,38.75784226568138,-84.42981481558252
2018-12-15 16:00:00,WB5BHS,35.3188,-93.0792,KB2SYD,41.5,-75.0,14.0,,Raytrace,iri2016,1714,38.75784226568138,-84.42981481558252
2018-12-15 16:10:00,WB5BHS,35.3188,-93.0792,KB2SYD,41.5,-75.0,14.0,,Raytrace,iri2016,1714,38.75784226568138,-84.42981481558252
2018-12-15 16:20:00,WB5BHS,35.3188,-93.0792,KB2SYD,41.5,-75.0,14.0,,Raytrace,iri2016,1714,38.75784226568138,-84.42981481558252
2018-12-15 16:40:00,WB5BHS,35.3188,-93.0792,KB2SYD,41.5,-75.0,14.0,,Raytrace,iri2016,1714,38.75784226568138,-84.42981481558252
2018-12-15 16:50:00,WB5BHS,35.3188,-93.0792,KB2SYD,41.5,-75.0,14.0,,Raytrace,iri2016,1714,38.75784226568138,-84.42981481558252
2018-12-15 17:00:00,WB5BHS,35.3188,-93.0792,KB2SYD,41.5,-75.0,14.0,,Raytrace,iri2016,1714,38.75784226568138,-84.42981481558252
2018-12-15 17:10:00,WB5BHS,35.3188,-93.0792,KB2SYD,41.5,-75.0,14.0,,Raytrace,iri2016,1714,38.75784226568138,-84.42981481558252
2018-12-15 17:40:00,WB5BHS,35.3188,-93.0792,KB2SYD,41.5,-75.0,14.0,,Raytrace,iri2016,1714,38.75784226568138,-84.42981481558252
2018-12-15 17:50:00,WB5BHS,35.3188,-93.0792,KB2SYD,41.5,-75.0,14.0,,Raytrace,iri2016,1714,38.75784226568138,-84.42981481558252
2018-12-15 18:00:00,WB5BHS,35.3188,-93.0792,KB2SYD,41.5,-75.0,14.0,,Raytrace,iri2016,1714,38.75784226568138,-84.42981481558252
2018-12-15 18:10:00,WB5BHS,35.3188,-93.0792,KB2SYD,41.5,-75.0,14.0,,Raytrace,iri2016,1714,38.75784226568138,-84.42981481558252
2018-12-15 18:20:00,WB5BHS,35.3188,-93.0792,KB2SYD,41.5,-75.0,14.0,,Raytrace,iri2016,1714,38.75784226568138,-84.42981481558252
2018-12-15 18:30:00,WB5BHS,35.3188,-93.0792,KB2SYD,41.5,-75.0,14.0,,Raytrace,iri2016,1714,38.75784226568138,-84.42981481558252
2018-12-15 18:40:00,WB5BHS,35.3188,-93.0792,KB2SYD,41.5,-75.0,14.0,,Raytrace,iri2016,1714,38.75784226568138,-84.42981481558252
2018-12-15 18:50:00,WB5BHS,35.3188,-93.0792,KB2SYD,41.5,-75.0,14.0,,Raytrace,iri2016,1714,38.75784226568138,-84.42981481558252
2018-12-15 19:00:00,WB5BHS,35.3188,-93.0792,KB2SYD,41.5,-75.0,14.0,,Raytrace,iri2016,1714,38.75784226568138,-84.42981481558252
2018-12-15 19:10:00,WB5BHS,35.3188,-93.0792,KB2SYD,41.5,-75.0,14.0,,Raytrace,iri2016,1714,38.75784226568138,-84.42981481558252
2018-12-15 19:50:00,WB5BHS,35.3188,-93.0792,KB2SYD,41.5,-75.0,14.0,,Raytrace,iri2016,1714,38.75784226568138,-84.42981481558252
2018-12-15 20:00:00,WB5BHS,35.3188,-93.0792,KB2SYD,41.5,-75.0,14.0,,Raytrace,iri2016,1714,38.75784226568138,-84.42981481558252
2018-12-15 20:10:00,WB5BHS,35.3188,-93.0792,KB2SYD,41.5,-75.0,14.0,,Raytrace,iri2016,1714,38.75784226568138,-84.42981481558252
2018-12-15 20:20:00,WB5BHS,35.3188,-93.0792,KB2SYD,41.5,-75.0,14.0,,Raytrace,iri2016,1714,38.75784226568138,-84.42981481558252
2018-12-15 20:30:00,WB5BHS,35.3188,-93.0792,KB2SYD,41.5,-75.0,14.0,,Raytrace,iri2016,1714,38.75784226568138,-84.42981481558252
2018-12-15 20:40:00,WB5BHS,35.3188,-93.0792,KB2SYD,41.5,-75.0,14.0,,Raytrace,iri2016,1714,38.75784226568138,-84.42981481558252
2018-12-15 20:50:00,WB5BHS,35.3188,-93.0792,KB2SYD,41.5,-75.0,14.0,,Raytrace,iri2016,1714,38.75784226568138,-84.42981481558252
2018-12-15 21:00:00,WB5BHS,35.3188,-93.0792,KB2SYD,41.5,-75.0,14.0,,Raytrace,iri2016,1714,38.75784226568138,-84.42981481558252
